seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chrX	48900871	48901042	172	*	X00078	7030	48886242	48900990	14749	-	0	overlapStart	0	TFE3
chrX	48901307	48901405	99	*	X00079	7030	48886242	48900990	14749	-	316	upstream	316	TFE3
chrX	48957964	48958157	194	*	X00080	11152	48932092	48958059	25968	-	0	overlapStart	0	WDR45
chrX	48958270	48958562	293	*	X00081	11152	48932092	48958059	25968	-	210	upstream	210	WDR45
chrX	49125479	49125882	404	*	X00087	89801	49126306	49144555	18250	+	423	upstream	423	PPP1R3F
chrX	49125987	49126302	316	*	X00088	89801	49126306	49144555	18250	+	3	upstream	3	PPP1R3F
chrX	49687254	49687304	51	*	X00089	1184	49687225	49863892	176668	+	0	inside	28	CLCN5
chrX	53111247	53111413	167	*	X00092	64061	53111542	53117728	6187	+	128	upstream	128	TSPYL2
chrX	53111459	53111584	126	*	X00093	64061	53111542	53117728	6187	+	0	overlapStart	0	TSPYL2
chrX	53449632	53450161	530	*	X00095	158787	53449805	53458063	8259	+	0	overlapStart	0	RIBC1
chrX	53449632	53450161	530	*	X00095	8243	53401070	53449618	48549	-	13	upstream	13	SMC1A
chrX	54070830	54071391	562	*	X00098	23133	53963113	54071569	108457	-	0	inside	177	PHF8
chrX	55187516	55187714	199	*	X00102	90736	55169535	55187628	18094	-	0	overlapStart	0	FAM104B
chrX	55744107	55744247	141	*	X00103	10325	55744110	55785207	41098	+	0	overlapStart	0	RRAGB
chrX	63425636	63425950	315	*	X00104	139285	63404997	63425624	20628	-	11	upstream	11	AMER1
chrX	68048630	68048647	18	*	X00105	1947	68048840	68066029	17190	+	192	upstream	192	EFNB1
chrX	68048830	68048859	30	*	X00106	1947	68048840	68066029	17190	+	0	overlapStart	0	EFNB1
chrX	69509731	69509815	85	*	X00108	24137	69509879	69640774	130896	+	63	upstream	63	KIF4A
chrX	69509731	69509815	85	*	X00108	51248	69506211	69509798	3588	-	0	overlapStart	0	PDZD11
chrX	69509857	69509953	97	*	X00109	24137	69509879	69640774	130896	+	0	overlapStart	0	KIF4A
chrX	69509857	69509953	97	*	X00109	51248	69506211	69509798	3588	-	58	upstream	58	PDZD11
chrX	77359339	77359607	269	*	X00111	5230	77359666	77382324	22659	+	58	upstream	58	PGK1
chrX	77359707	77359735	29	*	X00112	5230	77359666	77382324	22659	+	0	inside	40	PGK1
chrX	100352930	100353005	76	*	X00113	2491	100353178	100417978	64801	+	172	upstream	172	CENPI
chrX	100353190	100353237	48	*	X00114	2491	100353178	100417978	64801	+	0	inside	11	CENPI
chrX	103410871	103411277	407	*	X00115	139231	103411156	103440582	29427	+	0	overlapStart	0	FAM199X
chrX	106243661	106243717	57	*	X00116	79710	106057101	106243474	186374	-	186	upstream	186	MORC4
chrX	106871483	106871511	29	*	X00117	5631	106871654	106894256	22603	+	142	upstream	142	PRPS1
chrX	106871709	106871832	124	*	X00118	5631	106871654	106894256	22603	+	0	inside	54	PRPS1
chrX	107018985	107019267	283	*	X00122	1831	106956452	107019202	62751	-	0	overlapStart	0	TSC22D3
chrX	107334681	107335044	364	*	X00123	115201	107334899	107397901	63003	+	0	overlapStart	0	ATG4A
chrX	107334681	107335044	364	*	X00123	5716	107327435	107334874	7440	-	0	overlapStart	0	PSMD10
chrX	117479745	117480243	499	*	X00125	54521	117480036	117583923	103888	+	0	overlapStart	0	WDR44
chrX	118986900	118987089	190	*	X00126	65109	118967989	118986991	19003	-	0	overlapStart	0	UPF3B
chrX	118987224	118987228	5	*	X00127	65109	118967989	118986991	19003	-	232	upstream	232	UPF3B
chrX	119384532	119384764	233	*	X00128	10009	119384607	119392251	7645	+	0	overlapStart	0	ZBTB33
chrX	119763834	119763986	153	*	X00129	29071	119759529	119764005	4477	-	0	inside	18	C1GALT1C1
chrX	119764041	119764167	127	*	X00130	29071	119759529	119764005	4477	-	35	upstream	35	C1GALT1C1
chrX	122993641	122994199	559	*	X00131	331	122993662	123047829	54168	+	0	overlapStart	0	XIAP
chrX	123094354	123094390	37	*	X00132	10735	123094475	123236505	142031	+	84	upstream	84	STAG2
chrX	123094045	123094268	224	*	X00133	10735	123094475	123236505	142031	+	206	upstream	206	STAG2
chrX	129244556	129244954	399	*	X00135	2000	129198895	129244688	45794	-	0	overlapStart	0	ELF4
chrX	129299688	129299905	218	*	X00137	9131	129263338	129299861	36524	-	0	overlapStart	0	AIFM1
chrX	130037135	130037304	170	*	X00138	10495	129757357	130037208	279852	-	0	overlapStart	0	ENOX2
chrX	133507130	133507414	285	*	X00139	84295	133507342	133562822	55481	+	0	overlapStart	0	PHF6
chrX	134049187	134049463	277	*	X00140	56180	134021662	134049297	27636	-	0	overlapStart	0	MOSPD1
chrX	134186133	134186468	336	*	X00142	26071	134184963	134186221	1259	-	0	overlapStart	0	RTL8A
chrX	135579017	135579466	450	*	X00146	27336	135579238	135594503	15266	+	0	overlapStart	0	HTATSF1
chrX	146993045	146993648	604	*	X00148	2332	146993469	147032647	39179	+	0	overlapStart	0	FMR1
chrX	148620803	148621393	591	*	X00150	91966	148622519	148632086	9568	+	1125	upstream	1125	CXorf40A
chrX	148622083	148622613	531	*	X00151	100131434	148609132	148622504	13373	-	0	overlapStart	0	LINC00893
chrX	148622083	148622613	531	*	X00151	91966	148622519	148632086	9568	+	0	overlapStart	0	CXorf40A
chrX	149106653	149107187	535	*	X00152	100272228	149106766	149392815	286050	+	0	overlapStart	0	LINC00894
chrX	149106653	149107187	535	*	X00152	541578	149097723	149106716	8994	-	0	overlapStart	0	CXorf40B
chrX	149107554	149107879	326	*	X00153	541578	149097723	149106716	8994	-	837	upstream	837	CXorf40B
chrX	149107891	149108781	891	*	X00154	541578	149097723	149106716	8994	-	1174	upstream	1174	CXorf40B
chrX	149736705	149736710	6	*	X00156	4534	149737047	149841616	104570	+	336	upstream	336	MTM1
chrX	149737052	149737136	85	*	X00157	4534	149737047	149841616	104570	+	0	inside	4	MTM1
chrX	150067037	150067168	132	*	X00158	83692	149934809	150067289	132481	-	0	inside	120	CD99L2
chrX	150151589	150151640	52	*	X00159	3149	150151763	150159248	7486	+	122	upstream	122	HMGB3
chrX	150151795	150151847	53	*	X00160	3149	150151763	150159248	7486	+	0	inside	31	HMGB3
chrX	151999211	151999304	94	*	X00161	1069	151995871	151999301	3431	-	0	overlapStart	0	CETN2
chrX	151999211	151999304	94	*	X00161	50814	151999511	152037907	38397	+	206	upstream	206	NSDHL
chrX	151999541	151999658	118	*	X00162	1069	151995871	151999301	3431	-	239	upstream	239	CETN2
chrX	151999541	151999658	118	*	X00162	50814	151999511	152037907	38397	+	0	inside	29	NSDHL
chrX	152864857	152864930	74	*	X00167	92002	152853383	152864632	11250	-	224	upstream	224	CCNQ
chrX	152989785	152990431	647	*	X00169	10134	152965947	152990201	24255	-	0	overlapStart	0	BCAP31
chrX	152989785	152990431	647	*	X00169	215	152990323	153010216	19894	+	0	overlapStart	0	ABCD1
chrX	153059763	153060142	380	*	X00170	3421	153051221	153059978	8758	-	0	overlapStart	0	IDH3G
chrX	153059763	153060142	380	*	X00170	6748	153059630	153063967	4338	+	0	inside	132	SSR4
chrX	153193610	153193822	213	*	X00171	393	153172830	153191714	18885	-	1895	upstream	1895	ARHGAP4
chrX	153200444	153200510	67	*	X00173	8260	153195280	153200607	5328	-	0	inside	96	NAA10
chrX	153237534	153237788	255	*	X00174	3054	153213008	153236819	23812	-	714	upstream	714	HCFC1
chrX	153237534	153237788	255	*	X00174	8269	153237991	153248646	10656	+	202	upstream	202	TMEM187
chrX	153606874	153607263	390	*	X00179	2010	153607597	153609883	2287	+	333	upstream	333	EMD
chrX	153607581	153607873	293	*	X00180	2010	153607597	153609883	2287	+	0	overlapStart	0	EMD
chrX	153626435	153626465	31	*	X00182	6134	153626571	153632038	5468	+	105	upstream	105	RPL10
chrX	153626697	153626732	36	*	X00183	26778	153628622	153628756	135	+	1889	upstream	1889	SNORA70
chrX	153626697	153626732	36	*	X00183	6134	153626571	153632038	5468	+	0	inside	125	RPL10
chrX	153656804	153656830	27	*	X00184	537	153656978	153664862	7885	+	147	upstream	147	ATP6AP1
chrX	153656975	153657104	130	*	X00185	537	153656978	153664862	7885	+	0	overlapStart	0	ATP6AP1
chrX	153707135	153707405	271	*	X00186	8270	153705241	153707596	2356	-	0	inside	190	LAGE3
chrX	153718911	153719003	93	*	X00187	8273	153715650	153719002	3353	-	0	overlapStart	0	SLC10A3
chrX	153719079	153719313	235	*	X00188	8273	153715650	153719002	3353	-	76	upstream	76	SLC10A3
chrX	153744502	153744629	128	*	X00189	60343	153733327	153744566	11240	-	0	overlapStart	0	FAM3A
chrX	153744742	153744890	149	*	X00190	60343	153733327	153744566	11240	-	175	upstream	175	FAM3A
chrX	153770143	153770427	285	*	X00191	8517	153770459	153793261	22803	+	31	upstream	31	IKBKG
chrX	153775423	153775861	439	*	X00192	2539	153759606	153775787	16182	-	0	overlapStart	0	G6PD
chrX	153990795	153991277	483	*	X00193	1736	153991031	154005964	14934	+	0	overlapStart	0	DKC1
chrX	154254914	154255463	550	*	X00194	2157	154064064	154255215	191152	-	0	overlapStart	0	F8
chrX	154254914	154255463	550	*	X00194	65991	154255064	154285191	30128	+	0	overlapStart	0	FUNDC2
chrX	154299330	154299482	153	*	X00195	100272147	154289900	154299547	9648	-	0	inside	64	CMC4
chrX	154299330	154299482	153	*	X00195	4515	154292309	154299547	7239	-	0	inside	64	MTCP1
chrX	154299330	154299482	153	*	X00195	79184	154299695	154351349	51655	+	212	upstream	212	BRCC3
chrX	154299641	154299923	283	*	X00196	100272147	154289900	154299547	9648	-	93	upstream	93	CMC4
chrX	154299641	154299923	283	*	X00196	4515	154292309	154299547	7239	-	93	upstream	93	MTCP1
chrX	154299641	154299923	283	*	X00196	79184	154299695	154351349	51655	+	0	overlapStart	0	BRCC3
chr13	20207593	20207790	198	*	X00197	54737	20207788	20247599	39812	+	0	overlapStart	0	MPHOSPH8
chr13	20438074	20438096	23	*	X00198	9205	20397624	20437776	40153	-	297	upstream	297	ZMYM5
chr13	20532579	20532737	159	*	X00199	7750	20532810	20665968	133159	+	72	upstream	72	ZMYM2
chr13	20532791	20533011	221	*	X00200	7750	20532810	20665968	133159	+	0	overlapStart	0	ZMYM2
chr13	21635595	21635919	325	*	X00203	26524	21547176	21635722	88547	-	0	overlapStart	0	LATS2
chr13	21714406	21714799	394	*	X00204	10284	21714653	21723224	8572	+	0	overlapStart	0	SAP18
chr13	22033520	22033525	6	*	X00205	253832	21946710	22033508	86799	-	11	upstream	11	ZDHHC20
chr13	22033700	22033822	123	*	X00206	253832	21946710	22033508	86799	-	191	upstream	191	ZDHHC20
chr13	22177936	22178207	272	*	X00207	221154	22066828	22178355	111528	-	0	inside	147	MICU2
chr13	24463421	24463619	199	*	X00208	4285	24304328	24463587	159260	-	0	overlapStart	0	MIPEP
chr13	24734633	24735003	371	*	X00210	100313842	24736555	24736643	89	+	1551	upstream	1551	MIR2276
chr13	25496837	25497243	407	*	X00211	55835	25456412	25497027	40616	-	0	overlapStart	0	CENPJ
chr13	25875545	25875823	279	*	X00212	9818	25875666	25916561	40896	+	0	overlapStart	0	NUP58
chr13	27745959	27745961	3	*	X00213	219333	27640287	27746033	105747	-	0	inside	71	USP12
chr13	27746088	27746342	255	*	X00214	219333	27640287	27746033	105747	-	54	upstream	54	USP12
chr13	28024492	28024838	347	*	X00215	219402	28009776	28024739	14964	-	0	overlapStart	0	MTIF3
chr13	28195588	28195762	175	*	X00216	222484	28120050	28195244	75195	-	343	upstream	343	LNX2
chr13	28196062	28196199	138	*	X00217	222484	28120050	28195244	75195	-	817	upstream	817	LNX2
chr13	30169667	30169889	223	*	X00218	6541	30083551	30169825	86275	-	0	overlapStart	0	SLC7A1
chr13	30170018	30170252	235	*	X00219	6541	30083551	30169825	86275	-	192	upstream	192	SLC7A1
chr13	30424764	30425003	240	*	X00220	5412	30338545	30424820	86276	-	0	overlapStart	0	UBL3
chr13	31191444	31192249	806	*	X00222	10208	31191830	31233686	41857	+	0	overlapStart	0	USPL1
chr13	31191444	31192249	806	*	X00222	3146	31032879	31191510	158632	-	0	overlapStart	0	HMGB1
chr13	41363497	41363838	342	*	X00225	10166	41363547	41386596	23050	+	0	overlapStart	0	SLC25A15
chr13	41635454	41635889	436	*	X00226	11193	41635697	41658139	22443	+	0	overlapStart	0	WBP4
chr13	41635957	41636118	162	*	X00227	11193	41635697	41658139	22443	+	0	inside	259	WBP4
chr13	41706728	41706981	254	*	X00228	89890	41701709	41706936	5228	-	0	overlapStart	0	KBTBD6
chr13	42614145	42614833	689	*	X00229	160851	42614172	42830716	216545	+	0	overlapStart	0	DGKH
chr13	42845839	42846192	354	*	X00234	11215	42846289	42897403	51115	+	96	upstream	96	AKAP11
chr13	45151366	45152240	875	*	X00240	8848	45006279	45150701	144423	-	664	upstream	664	TSC22D1
chr13	45915323	45915878	556	*	X00242	100190939	45915480	45965618	50139	+	0	overlapStart	0	TPT1-AS1
chr13	45915323	45915878	556	*	X00242	7178	45911304	45915297	3994	-	25	upstream	25	TPT1
chr13	46038929	46039145	217	*	X00245	83548	46039030	46110833	71804	+	0	overlapStart	0	COG3
chr13	48611666	48612362	697	*	X00246	55270	48611703	48621282	9580	+	0	overlapStart	0	NUDT15
chr13	48611666	48612362	697	*	X00246	8803	48516791	48612125	95335	-	0	overlapStart	0	SUCLA2
chr13	50017988	50018557	570	*	X00248	81617	49882786	50018221	135436	-	0	overlapStart	0	CAB39L
chr13	50017988	50018557	570	*	X00248	83852	50018429	50069139	50711	+	0	overlapStart	0	SETDB2
chr13	50265401	50265924	524	*	X00249	84650	50234810	50265623	30814	-	0	overlapStart	0	EBPL
chr13	50366742	50367319	578	*	X00250	3839	50273443	50367057	93615	-	0	overlapStart	0	KPNA3
chr13	50510302	50510538	237	*	X00251	57213	50486842	50510625	23784	-	0	inside	86	SPRYD7
chr13	50510708	50510803	96	*	X00252	57213	50486842	50510625	23784	-	82	upstream	82	SPRYD7
chr13	52027163	52027281	119	*	X00255	26512	51935701	52027275	91575	-	0	overlapStart	0	INTS6
chr13	52027425	52027832	408	*	X00256	26512	51935701	52027275	91575	-	149	upstream	149	INTS6
chr13	52157779	52159114	1336	*	X00257	115825	52158484	52336171	177688	+	0	overlapStart	0	WDFY2
chr13	52586290	52586330	41	*	X00258	440138	52586523	52591849	5327	+	192	upstream	192	ALG11
chr13	52586290	52586330	41	*	X00258	540	52506806	52585630	78825	-	659	upstream	659	ATP7B
chr13	52586290	52586330	41	*	X00258	9724	52586523	52607736	21214	+	192	upstream	192	UTP14C
chr13	52586451	52586582	132	*	X00259	440138	52586523	52591849	5327	+	0	overlapStart	0	ALG11
chr13	52586451	52586582	132	*	X00259	540	52506806	52585630	78825	-	820	upstream	820	ATP7B
chr13	52586451	52586582	132	*	X00259	9724	52586523	52607736	21214	+	0	overlapStart	0	UTP14C
chr13	53024616	53024827	212	*	X00260	51028	52986737	53024763	38027	-	0	overlapStart	0	VPS36
chr13	53226618	53227148	531	*	X00261	10910	53226831	53262433	35603	+	0	overlapStart	0	SUGT1
chr13	60737920	60738114	195	*	X00262	81624	60239721	60738119	498399	-	0	inside	4	DIAPH3
chr13	60738153	60738348	196	*	X00263	81624	60239721	60738119	498399	-	33	upstream	33	DIAPH3
chr13	60970408	60970719	312	*	X00264	81550	60970591	61148013	177423	+	0	overlapStart	0	TDRD3
chr13	73301592	73301870	279	*	X00265	440145	73282495	73301938	19444	-	0	inside	67	MZT1
chr13	73301592	73301870	279	*	X00265	79866	73302042	73330328	28287	+	171	upstream	171	BORA
chr13	73302049	73302113	65	*	X00266	440145	73282495	73301938	19444	-	110	upstream	110	MZT1
chr13	73302049	73302113	65	*	X00266	79866	73302042	73330328	28287	+	0	inside	6	BORA
chr13	73356032	73356140	109	*	X00267	10464	73356230	73590591	234362	+	89	upstream	89	PIBF1
chr13	73356032	73356140	109	*	X00267	22894	73329540	73356344	26805	-	0	inside	203	DIS3
chr13	73356264	73356402	139	*	X00268	10464	73356230	73590591	234362	+	0	inside	33	PIBF1
chr13	73356264	73356402	139	*	X00268	22894	73329540	73356344	26805	-	0	overlapStart	0	DIS3
chr13	74708906	74709377	472	*	X00270	11278	74260149	74708394	448246	-	511	upstream	511	KLF12
chr13	74709463	74710012	550	*	X00271	11278	74260149	74708394	448246	-	1068	upstream	1068	KLF12
chr13	76056345	76056789	445	*	X00272	9882	75858809	76056250	197442	-	94	upstream	94	TBC1D4
chr13	76123542	76124098	557	*	X00273	7347	76123616	76180156	56541	+	0	overlapStart	0	UCHL3
chr13	77566016	77566451	436	*	X00274	1203	77566059	77576652	10594	+	0	overlapStart	0	CLN5
chr13	77901176	77901283	108	*	X00277	23077	77618792	77901177	282386	-	0	overlapStart	0	MYCBP2
chr13	80055161	80055655	495	*	X00278	100874208	80051499	80055366	3868	-	0	overlapStart	0	NDFIP2-AS1
chr13	80055161	80055655	495	*	X00278	54602	80055259	80130212	74954	+	0	overlapStart	0	NDFIP2
chr13	80915320	80915676	357	*	X00279	10253	80910112	80915086	4975	-	233	upstream	233	SPRY2
chr13	91999877	91999964	88	*	X00280	407975	92000074	92006829	6756	+	109	upstream	109	MIR17HG
chr13	95248405	95248532	128	*	X00281	23483	95226308	95248511	22204	-	0	overlapStart	0	TGDS
chr13	95253811	95253900	90	*	X00282	160897	95254104	95286899	32796	+	203	upstream	203	GPR180
chr13	95254054	95254300	247	*	X00283	160897	95254104	95286899	32796	+	0	overlapStart	0	GPR180
chr13	95953851	95954134	284	*	X00284	10257	95672083	95953687	281605	-	163	upstream	163	ABCC4
chr13	96329013	96329264	252	*	X00285	5611	96329393	96447243	117851	+	128	upstream	128	DNAJC3
chr13	96329325	96329604	280	*	X00286	5611	96329393	96447243	117851	+	0	overlapStart	0	DNAJC3
chr13	98085170	98085347	178	*	X00287	5911	98086475	98120252	33778	+	1127	upstream	1127	RAP2A
chr13	98085427	98085814	388	*	X00288	5911	98086475	98120252	33778	+	660	upstream	660	RAP2A
chr13	98086011	98086276	266	*	X00289	5911	98086475	98120252	33778	+	198	upstream	198	RAP2A
chr13	98086437	98086607	171	*	X00290	5911	98086475	98120252	33778	+	0	overlapStart	0	RAP2A
chr13	99229608	99229911	304	*	X00294	8428	99102455	99229396	126942	-	211	upstream	211	STK24
chr13	99739816	99740201	386	*	X00295	23348	99445741	99738660	292920	-	1155	upstream	1155	DOCK9
chr13	99852949	99852977	29	*	X00296	100289373	99848628	99853011	4384	-	0	inside	33	UBAC2-AS1
chr13	99852949	99852977	29	*	X00296	337867	99852679	100038753	186075	+	0	inside	269	UBAC2
chr13	99853063	99853191	129	*	X00297	100289373	99848628	99853011	4384	-	51	upstream	51	UBAC2-AS1
chr13	100259023	100259153	131	*	X00299	171425	100258919	100549388	290470	+	0	inside	103	CLYBL
chr13	100741162	100741391	230	*	X00300	5095	100741269	101182691	441423	+	0	overlapStart	0	PCCA
chr13	101326996	101327106	111	*	X00301	84899	101256090	101327103	71014	-	0	overlapStart	0	TMTC4
chr13	103249095	103249228	134	*	X00302	7174	103249286	103331523	82238	+	57	upstream	57	TPP2
chr13	103249320	103249485	166	*	X00303	7174	103249286	103331523	82238	+	0	inside	33	TPP2
chr13	103425922	103426354	433	*	X00304	93081	103418463	103426149	7687	-	0	overlapStart	0	TEX30
chr13	103498097	103498467	371	*	X00305	2073	103498191	103528351	30161	+	0	overlapStart	0	ERCC5
chr13	107187917	107187978	62	*	X00306	1948	107142079	107187388	45310	-	528	upstream	528	EFNB2
chr13	107188260	107188319	60	*	X00307	1948	107142079	107187388	45310	-	871	upstream	871	EFNB2
chr13	110438922	110438969	48	*	X00308	8660	110406184	110438914	32731	-	7	upstream	7	IRS2
chr13	110439102	110439359	258	*	X00309	8660	110406184	110438914	32731	-	187	upstream	187	IRS2
chr13	111267659	111268012	354	*	X00310	55739	111267807	111292342	24536	+	0	overlapStart	0	NAXD
chr13	111364653	111365033	381	*	X00313	3621	111364970	111373421	8452	+	0	overlapStart	0	ING1
chr13	111365161	111365607	447	*	X00314	3621	111364970	111373421	8452	+	0	inside	190	ING1
chr13	111367706	111367908	203	*	X00315	79587	111293757	111365950	72194	-	1755	upstream	1755	CARS2
chr13	111522532	111522928	397	*	X00317	283487	111516334	111522655	6322	-	0	overlapStart	0	LINC00346
chr13	111567123	111567485	363	*	X00318	55608	111530887	111567416	36530	-	0	overlapStart	0	ANKRD10
chr13	111567614	111568120	507	*	X00319	55608	111530887	111567416	36530	-	197	upstream	197	ANKRD10
chr13	113951288	113951394	107	*	X00323	3916	113951469	113977741	26273	+	74	upstream	74	LAMP1
chr13	114145448	114145487	40	*	X00326	55002	114145308	114204544	59237	+	0	inside	139	TMCO3
chr13	114145448	114145487	40	*	X00326	55208	114110134	114145023	34890	-	424	upstream	424	DCUN1D2
chr13	115046841	115047704	864	*	X00329	65110	115047059	115071291	24233	+	0	overlapStart	0	UPF3A
chr13	115079717	115080160	444	*	X00330	283489	115079965	115092803	12839	+	0	overlapStart	0	CHAMP1
chr12	861443	861588	146	*	X00332	65125	862089	1020618	158530	+	500	upstream	500	WNK1
chr12	861658	861782	125	*	X00333	65125	862089	1020618	158530	+	306	upstream	306	WNK1
chr12	1799917	1800239	323	*	X00336	79602	1800247	1897845	97599	+	7	upstream	7	ADIPOR2
chr12	2921678	2921942	265	*	X00337	55846	2921787	2939770	17984	+	0	overlapStart	0	ITFG2
